Game ID,Comment,Label,Home Team,Away Team,Kosovas Result
13,Ju lumte super osht,Positive,Switzerland,Kosovo,Draw
15,"Me ni greqi te lodht u desht me myt gola po masi barazum e s'humbum gjysa e t'keqt!
",Neutral,Greece,Kosovo,Draw
18,"Qiky rashica veq u hi mi kqyr topin ka po shkon
",Negative,Sweden,Kosovo,Loss
19,Loj e bukur pavarsishte rezultatit ,Positive,Kosovo,Spain,Loss
4,Dobte,Neutral,Israel,Kosovo,Draw
7,"Nuk e pranon Kosovën, por i pranon golat",Neutral,Kosovo,Cyprus,Win
4,te gjithe i paragjykoni po te kishin humbur me mire nje 1 pike apo nje humbje,Neutral,Israel,Kosovo,Draw
9,"Oo n...e merimanges ju ka mush ajo bir,qka jeni ka boni bre aty...ja u ka baba aty.ala loj ma dobt skem pa...a darsem keni shku greqi a qka...uuuu",Negative,Greece,Kosovo,Loss
7,Qetsohu Alban sa te jete Duka me bankin nuk shohim hajr ne merr CA pleq me pak lek e drejton kombtaren,Negative,Kosovo,Cyprus,Win
3,A vazhduet edhe ju me i shit neshjet kaq kuptushe sikur keta legenat tan aaaa!?,Negative,Kosovo,Andorra,Draw
3,"Për të ecur përpara me sukses, FFK-s mendimi im duhet ti besohet të marrë urgjentisht BACI, z. Pacolli per te pastru rrëmujën e qit ne binar kombetaren, nuk kan faj trajnerët, nuk ndrrohen nese ndodh resultati nuk esht i favorshem apo dikuj qe i teket, keto gjera ndodhin ku kreu i shtepise merr gjithcka nen kontroll, nderhyn dhe nuk i le trajneret. bëjnë punën e tyre cilësore, lojtarët janë gjithashtu të gjithë të rinj, aktivë dhe plot energji si kurrë më parë, te ishte i ndjeri Fadil do ishte ndryshe! Respekt",Negative,Kosovo,Andorra,Draw
28,Me llogo t're po i mytshum krejt ,Negative,Kosovo,Lithuania,Win
28,"Ai bandashi ne llogo po kallxojka qe kishe i shkelum ekipet tjera, respekt",Positive,Kosovo,Lithuania,Win
4,"Real madrid Rashica lojtari Kryesor i Kombetares
",Neutral,Israel,Kosovo,Draw
19,"Po duhet krejt Publiku me lyp me ndru ate katastrof Trener.
",Negative,Kosovo,Spain,Loss
